127.0.0.1 - - [05/Apr/2023:11:25:55 +0900] "GET / HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [05/Apr/2023:11:26:06 +0900] "GET /division.css HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [05/Apr/2023:11:26:06 +0900] "GET /header.js HTTP/1.1" 404 816
0:0:0:0:0:0:0:1 - - [05/Apr/2023:11:26:06 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Apr/2023:11:26:08 +0900] "GET /portfolio/portfolio.jsp HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [05/Apr/2023:11:26:08 +0900] "GET /portfolio/portfolio.jsp HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [05/Apr/2023:11:26:09 +0900] "GET /portfolio/portfolio.jsp HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [05/Apr/2023:11:26:10 +0900] "GET /portfolio/portfolio.jsp HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [05/Apr/2023:11:26:10 +0900] "GET /portfolio/portfolio.jsp HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [05/Apr/2023:11:26:10 +0900] "GET /portfolio/portfolio.jsp HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [05/Apr/2023:11:26:11 +0900] "GET /portfolio/portfolio.jsp HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [05/Apr/2023:11:26:11 +0900] "GET /portfolio/portfolio.jsp HTTP/1.1" 404 819
